title,rating_count,average_rating
"Beautiful Mind, A (2001)",123,4
Hot Fuzz (2007),61,4
Run Lola Run (Lola rennt) (1998),75,4
"Clockwork Orange, A (1971)",120,3.995833333333333
"Dark Knight Rises, The (2012)",76,3.9934210526315788
Interstellar (2014),73,3.993150684931507
Young Frankenstein (1974),69,3.9927536231884058
"Fugitive, The (1993)",190,3.9921052631578946
Raising Arizona (1987),58,3.9913793103448274
Platoon (1986),63,3.984126984126984
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),177,3.983050847457627
Donnie Darko (2001),109,3.981651376146789
"Sting, The (1973)",64,3.9765625
Seven (a.k.a. Se7en) (1995),203,3.9753694581280787
28 Days Later (2002),58,3.9741379310344827
"Christmas Story, A (1983)",55,3.9727272727272727
Terminator 2: Judgment Day (1991),224,3.970982142857143
Alien (1979),146,3.969178082191781
Aliens (1986),126,3.9642857142857144
Kill Bill: Vol. 1 (2003),131,3.9618320610687023
Finding Nemo (2003),141,3.9609929078014185
Dead Poets Society (1989),86,3.9593023255813953
Being John Malkovich (1999),99,3.9545454545454546
Gattaca (1997),86,3.953488372093023
Heat (1995),102,3.946078431372549
Children of Men (2006),64,3.9453125
Casino Royale (2006),81,3.9444444444444446
Groundhog Day (1993),143,3.944055944055944
Django Unchained (2012),71,3.943661971830986
Butch Cassidy and the Sundance Kid (1969),62,3.943548387096774
How to Train Your Dragon (2010),53,3.943396226415094
"Lion King, The (1994)",172,3.941860465116279
Serenity (2005),50,3.94
"Untouchables, The (1987)",65,3.9384615384615387
Gladiator (2000),170,3.9382352941176473
"Sound of Music, The (1965)",64,3.9375
Blazing Saddles (1974),62,3.935483870967742
Scarface (1983),67,3.9328358208955225
Monty Python's Life of Brian (1979),89,3.9269662921348316
Casino (1995),82,3.926829268292683
"Big Lebowski, The (1998)",106,3.9245283018867925
"Fish Called Wanda, A (1988)",71,3.9225352112676055
Requiem for a Dream (2000),96,3.921875
Catch Me If You Can (2002),115,3.9217391304347826
Toy Story (1995),215,3.9209302325581397
"Wolf of Wall Street, The (2013)",54,3.9166666666666665
Harry Potter and the Prisoner of Azkaban (2004),93,3.913978494623656
Harry Potter and the Deathly Hallows: Part 2 (2011),50,3.91
"Last Samurai, The (2003)",62,3.903225806451613
Traffic (2000),70,3.9
No Country for Old Men (2007),64,3.8984375
"Terminator, The (1984)",131,3.8969465648854964
2001: A Space Odyssey (1968),109,3.8944954128440368
"Sixth Sense, The (1999)",179,3.893854748603352
Crash (2004),50,3.89
Harry Potter and the Half-Blood Prince (2009),58,3.8879310344827585
Mary Poppins (1964),71,3.887323943661972
"Social Network, The (2010)",57,3.8859649122807016
V for Vendetta (2006),100,3.885
Little Miss Sunshine (2006),77,3.883116883116883
"Wizard of Oz, The (1939)",92,3.880434782608696
Star Trek: First Contact (1996),91,3.879120879120879
Zombieland (2009),53,3.8773584905660377
Willy Wonka & the Chocolate Factory (1971),119,3.8739495798319328
"Hunt for Red October, The (1990)",90,3.8722222222222222
"Monsters, Inc. (2001)",132,3.871212121212121
Annie Hall (1977),58,3.8706896551724137
"Avengers, The (2012)",69,3.869565217391304
Kill Bill: Vol. 2 (2004),110,3.868181818181818
Ratatouille (2007),72,3.8680555555555554
Shrek (2001),170,3.8676470588235294
Almost Famous (2000),83,3.8674698795180724
Star Trek (2009),59,3.864406779661017
Superbad (2007),55,3.8636363636363638
Batman Begins (2005),116,3.8620689655172415
Die Hard (1988),145,3.8620689655172415
Harry Potter and the Order of the Phoenix (2007),58,3.8620689655172415
"South Park: Bigger, Longer and Uncut (1999)",76,3.861842105263158
Toy Story 2 (1999),97,3.8608247422680413
When Harry Met Sally... (1989),85,3.8588235294117648
Sin City (2005),84,3.857142857142857
Airplane! (1980),87,3.8563218390804597
Clerks (1994),104,3.855769230769231
Sherlock Holmes (2009),58,3.853448275862069
Million Dollar Baby (2004),52,3.8461538461538463
Apollo 13 (1995),201,3.845771144278607
Ocean's Eleven (2001),119,3.8445378151260505
Mulholland Drive (2001),51,3.843137254901961
Goldfinger (1964),53,3.839622641509434
Ferris Bueller's Day Off (1986),109,3.8394495412844036
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",110,3.8363636363636364
"Incredibles, The (2004)",125,3.836
Dead Man Walking (1995),67,3.8358208955223883
Dances with Wolves (1990),164,3.8353658536585367
Big Fish (2003),69,3.8333333333333335
Deadpool (2016),54,3.8333333333333335
"Jungle Book, The (1967)",53,3.830188679245283
Rocky (1976),64,3.828125
Caddyshack (1980),52,3.826923076923077
Iron Man (2008),94,3.824468085106383
"Bourne Identity, The (2002)",112,3.8169642857142856
Harry Potter and the Goblet of Fire (2005),71,3.816901408450704
Tombstone (1993),65,3.8153846153846156
"Pan's Labyrinth (Laberinto del fauno, El) (2006)",81,3.814814814814815
Blow (2001),51,3.8137254901960786
"Truman Show, The (1998)",125,3.812
Black Hawk Down (2001),50,3.81
Skyfall (2012),50,3.81
Slumdog Millionaire (2008),71,3.8098591549295775
"Blues Brothers, The (1980)",84,3.8095238095238093
"O Brother, Where Art Thou? (2000)",94,3.8085106382978724
Rain Man (1988),96,3.8072916666666665
Spider-Man 2 (2004),79,3.8037974683544302
Planet of the Apes (1968),56,3.8035714285714284
"Exorcist, The (1973)",53,3.80188679245283
True Romance (1993),65,3.8
Training Day (2001),51,3.7941176470588234
Aladdin (1992),183,3.7923497267759565
"Few Good Men, A (1992)",57,3.789473684210526
American Psycho (2000),59,3.788135593220339
Love Actually (2003),59,3.788135593220339
"Bourne Supremacy, The (2004)",75,3.7866666666666666
Fantasia (1940),53,3.7830188679245285
Tommy Boy (1995),50,3.78
"Grand Budapest Hotel, The (2014)",52,3.7788461538461537
"Breakfast Club, The (1985)",113,3.7787610619469025
Pirates of the Caribbean: The Curse of the Black Pearl (2003),149,3.778523489932886
Shakespeare in Love (1998),92,3.777173913043478
District 9 (2009),65,3.776923076923077
Sense and Sensibility (1995),67,3.7761194029850746
Bowling for Columbine (2002),58,3.7758620689655173
Ghostbusters (a.k.a. Ghost Busters) (1984),120,3.775
Anchorman: The Legend of Ron Burgundy (2004),57,3.7719298245614037
Beauty and the Beast (1991),146,3.7705479452054793
Juno (2007),65,3.769230769230769
E.T. the Extra-Terrestrial (1982),122,3.7663934426229506
What's Eating Gilbert Grape (1993),77,3.7662337662337664
Star Trek II: The Wrath of Khan (1982),62,3.7661290322580645
Blood Diamond (2006),53,3.7641509433962264
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),107,3.7616822429906542
"Full Monty, The (1997)",56,3.7589285714285716
Jurassic Park (1993),238,3.75
"Fifth Element, The (1997)",116,3.7456896551724137
Close Encounters of the Third Kind (1977),60,3.7416666666666667
Donnie Brasco (1997),52,3.7403846153846154
X2: X-Men United (2003),76,3.723684210526316
Big (1988),91,3.71978021978022
Magnolia (1999),52,3.7115384615384617
Mystic River (2003),52,3.7115384615384617
Mr. Holland's Opus (1995),80,3.70625
"Game, The (1997)",77,3.7012987012987013
Cast Away (2000),100,3.7
Edward Scissorhands (1990),80,3.7
X-Men (2000),133,3.699248120300752
As Good as It Gets (1997),96,3.6979166666666665
"Bourne Ultimatum, The (2007)",81,3.697530864197531
Animal House (1978),62,3.693548387096774
In the Line of Fire (1993),70,3.692857142857143
Best in Show (2000),53,3.688679245283019
Ice Age (2002),85,3.6882352941176473
"Royal Tenenbaums, The (2001)",68,3.6838235294117645
300 (2007),80,3.68125
Ed Wood (1994),70,3.6785714285714284
There's Something About Mary (1998),105,3.676190476190476
Lethal Weapon (1987),75,3.6733333333333333
"American President, The (1995)",70,3.6714285714285713
High Fidelity (2000),75,3.6666666666666665
Election (1999),56,3.6607142857142856
Knocked Up (2007),52,3.6538461538461537
Total Recall (1990),88,3.653409090909091
Contact (1997),82,3.652439024390244
Babe (1995),128,3.65234375
Dogma (1999),79,3.6455696202531644
"Rock, The (1996)",121,3.6404958677685952
Indiana Jones and the Temple of Doom (1984),108,3.638888888888889
Minority Report (2002),120,3.6375
Crimson Tide (1995),103,3.6359223300970873
"Hangover, The (2009)",76,3.6315789473684212
"Others, The (2001)",55,3.6272727272727274
Leaving Las Vegas (1995),76,3.625
Bridget Jones's Diary (2001),65,3.623076923076923
"Italian Job, The (2003)",59,3.6186440677966103
Snow White and the Seven Dwarfs (1937),77,3.616883116883117
Philadelphia (1993),66,3.6136363636363638
Grosse Pointe Blank (1997),59,3.610169491525424
"Crow, The (1994)",64,3.609375
Superman (1978),61,3.6065573770491803
Clear and Present Danger (1994),110,3.6045454545454545
Avatar (2009),97,3.6030927835051547
Harry Potter and the Chamber of Secrets (2002),102,3.5980392156862746
Jerry Maguire (1996),85,3.5941176470588236
Moulin Rouge (2001),55,3.590909090909091
Predator (1987),61,3.581967213114754
Galaxy Quest (1999),75,3.58
Chasing Amy (1997),52,3.576923076923077
Shrek 2 (2004),92,3.5760869565217392
Who Framed Roger Rabbit? (1988),97,3.5721649484536084
"Goonies, The (1985)",57,3.5701754385964914
Desperado (1995),66,3.5606060606060606
Die Hard: With a Vengeance (1995),144,3.5555555555555554
"Nightmare Before Christmas, The (1993)",93,3.553763440860215
Chicken Run (2000),78,3.551282051282051
"40-Year-Old Virgin, The (2005)",74,3.5472972972972974
Dave (1993),76,3.5460526315789473
Rushmore (1998),56,3.544642857142857
"Piano, The (1993)",61,3.540983606557377
Spider-Man (2002),122,3.540983606557377
Disclosure (1994),52,3.5384615384615383
Mission: Impossible (1996),162,3.537037037037037
Austin Powers: International Man of Mystery (1997),100,3.535
"Firm, The (1993)",101,3.5346534653465347
Speed (1994),171,3.5292397660818713
Erin Brockovich (2000),70,3.5285714285714285
10 Things I Hate About You (1999),54,3.5277777777777777
Four Weddings and a Funeral (1994),103,3.5194174757281553
Quiz Show (1994),81,3.5185185185185186
Gangs of New York (2002),55,3.518181818181818
Field of Dreams (1989),56,3.517857142857143
"Bug's Life, A (1998)",92,3.516304347826087
Super Size Me (2004),50,3.51
Zoolander (2001),54,3.509259259259259
From Dusk Till Dawn (1996),55,3.5090909090909093
Wedding Crashers (2005),58,3.5086206896551726
Pirates of the Caribbean: Dead Man's Chest (2006),72,3.5069444444444446
Back to the Future Part II (1989),87,3.5057471264367814
Maverick (1994),74,3.5
True Lies (1994),178,3.497191011235955
GoldenEye (1995),132,3.496212121212121
Get Shorty (1995),89,3.49438202247191
"Birdcage, The (1996)",86,3.494186046511628
Enemy of the State (1998),67,3.4925373134328357
"I, Robot (2004)",61,3.4918032786885247
Men in Black (a.k.a. MIB) (1997),165,3.487878787878788
Pretty Woman (1990),135,3.4851851851851854
I Am Legend (2007),62,3.4838709677419355
Pleasantville (1998),61,3.4836065573770494
Spaceballs (1987),59,3.483050847457627
Unbreakable (2000),73,3.4794520547945207
"Abyss, The (1989)",62,3.475806451612903
Sleepy Hollow (1999),62,3.475806451612903
Wayne's World (1992),61,3.4754098360655736
Beetlejuice (1988),91,3.4725274725274726
Sleepless in Seattle (1993),106,3.4716981132075473
While You Were Sleeping (1995),98,3.4693877551020407
Eyes Wide Shut (1999),53,3.4622641509433962
Interview with the Vampire: The Vampire Chronicles (1994),109,3.458715596330275
Notting Hill (1999),56,3.455357142857143
Romancing the Stone (1984),54,3.4537037037037037
Pinocchio (1940),60,3.45
"Patriot, The (2000)",68,3.448529411764706
Independence Day (a.k.a. ID4) (1996),202,3.4455445544554455
Kung Fu Panda (2008),54,3.4444444444444446
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",62,3.443548387096774
Happy Gilmore (1996),99,3.4393939393939394
Pirates of the Caribbean: At World's End (2007),56,3.4375
The Hunger Games (2012),54,3.435185185185185
Ghost (1990),115,3.4347826086956523
Jumanji (1995),110,3.4318181818181817
Star Wars: Episode III - Revenge of the Sith (2005),78,3.4294871794871793
Batman (1989),189,3.4285714285714284
Outbreak (1995),101,3.4257425742574257
"Little Mermaid, The (1989)",67,3.425373134328358
"Wedding Singer, The (1998)",56,3.419642857142857
Meet the Parents (2000),91,3.4175824175824174
Titanic (1997),140,3.414285714285714
The Devil's Advocate (1997),51,3.411764705882353
Die Hard 2 (1990),68,3.4044117647058822
School of Rock (2003),66,3.4015151515151514
Lady and the Tramp (1955),55,3.4
Legends of the Fall (1994),68,3.3970588235294117
Star Trek: Generations (1994),108,3.3935185185185186
Mrs. Doubtfire (1993),144,3.388888888888889
"Truth About Cats & Dogs, The (1996)",58,3.3879310344827585
"Client, The (1994)",57,3.3859649122807016
American Pie (1999),103,3.378640776699029
Stargate (1994),140,3.375
RoboCop (1987),70,3.3714285714285714
Face/Off (1997),77,3.3701298701298703
Back to the Future Part III (1990),88,3.3693181818181817
Blade (1998),58,3.3620689655172415
Hook (1991),53,3.358490566037736
X-Men: The Last Stand (2006),52,3.355769230769231
"Matrix Reloaded, The (2003)",96,3.3541666666666665
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),65,3.3461538461538463
Air Force One (1997),58,3.3448275862068964
"Rocky Horror Picture Show, The (1975)",63,3.3412698412698414
Tron (1982),50,3.34
A.I. Artificial Intelligence (2001),56,3.3392857142857144
Starship Troopers (1997),80,3.33125
Twister (1996),123,3.321138211382114
Bruce Almighty (2003),71,3.316901408450704
Top Gun (1986),83,3.3012048192771086
Clueless (1995),104,3.293269230769231
Mr. & Mrs. Smith (2005),59,3.2796610169491527
My Big Fat Greek Wedding (2002),60,3.2666666666666666
My Cousin Vinny (1992),59,3.26271186440678
"Three Musketeers, The (1993)",61,3.262295081967213
Grumpier Old Men (1995),52,3.2596153846153846
Bad Boys (1995),51,3.2450980392156863
Natural Born Killers (1994),92,3.233695652173913
Gone in 60 Seconds (2000),61,3.221311475409836
"Santa Clause, The (1994)",81,3.2037037037037037
Scream (1996),70,3.2
Austin Powers: The Spy Who Shagged Me (1999),121,3.1983471074380163
Sabrina (1995),54,3.185185185185185
"Mask, The (1994)",157,3.1847133757961785
Crocodile Dundee (1986),57,3.175438596491228
Signs (2002),63,3.1666666666666665
Star Wars: Episode II - Attack of the Clones (2002),92,3.157608695652174
Legally Blonde (2001),64,3.15625
"Matrix Revolutions, The (2003)",79,3.151898734177215
Pocahontas (1995),68,3.1470588235294117
War of the Worlds (2005),52,3.144230769230769
Grease (1978),68,3.139705882352941
What Women Want (2000),54,3.138888888888889
Robin Hood: Men in Tights (1993),69,3.130434782608696
"Mummy, The (1999)",87,3.1206896551724137
You've Got Mail (1998),50,3.12
Splash (1984),51,3.1176470588235294
Eraser (1996),64,3.109375
Star Wars: Episode I - The Phantom Menace (1999),140,3.107142857142857
Addams Family Values (1993),84,3.1011904761904763
"Mask of Zorro, The (1998)",60,3.1
Mars Attacks! (1996),86,3.0930232558139537
Demolition Man (1993),81,3.0925925925925926
Dragonheart (1996),65,3.0923076923076924
First Knight (1995),54,3.0833333333333335
Naked Gun 33 1/3: The Final Insult (1994),58,3.060344827586207
Dumb & Dumber (Dumb and Dumber) (1994),133,3.0601503759398496
Miss Congeniality (2000),64,3.0546875
Armageddon (1998),92,3.0543478260869565
"Day After Tomorrow, The (2004)",50,3.05
Ace Ventura: Pet Detective (1994),161,3.040372670807453
"Net, The (1995)",112,3.0401785714285716
Cliffhanger (1993),101,3.0346534653465347
Con Air (1997),59,3.0338983050847457
Liar Liar (1997),74,3.0337837837837838
Batman Returns (1992),60,3.025
Broken Arrow (1996),84,3.0238095238095237
Charlie and the Chocolate Factory (2005),61,3
Home Alone (1990),116,2.9956896551724137
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),61,2.959016393442623
Last Action Hero (1993),53,2.9339622641509435
Scary Movie (2000),50,2.92
Batman Forever (1995),137,2.9160583941605838
Waterworld (1995),115,2.9130434782608696
Congo (1995),57,2.8771929824561404
Hot Shots! Part Deux (1993),60,2.8666666666666667
Austin Powers in Goldmember (2002),65,2.8461538461538463
Arachnophobia (1990),53,2.811320754716981
Casper (1995),62,2.806451612903226
"Cable Guy, The (1996)",54,2.8055555555555554
"Blair Witch Project, The (1999)",64,2.796875
"Honey, I Shrunk the Kids (1989)",68,2.7573529411764706
"Lost World: Jurassic Park, The (1997)",67,2.753731343283582
"Nutty Professor, The (1996)",82,2.731707317073171
Ace Ventura: When Nature Calls (1995),88,2.727272727272727
Charlie's Angels (2000),72,2.7222222222222223
Beverly Hills Cop III (1994),59,2.7203389830508473
Mission: Impossible II (2000),77,2.7142857142857144
Space Jam (1996),53,2.707547169811321
Johnny Mnemonic (1995),53,2.6792452830188678
Judge Dredd (1995),62,2.6693548387096775
City Slickers II: The Legend of Curly's Gold (1994),55,2.6454545454545455
Coneheads (1993),63,2.4206349206349205
Wild Wild West (1999),53,2.207547169811321
